Objects
100
,,Global Angle 511_24:511_24,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.0451674,0.003104,0.0621706,-515.92,508.92,1.56759
2,0,-0.0455951,0.00396578,0.0621494,-515.932,508.92,1.55758
3,0,-0.024224,0.0118608,0.0571063,-516.169,509.123,1.64143
4,0,-0.0424003,0.0230152,0.0692382,-516.403,509.032,1.25697
5,0,-0.0444092,0.0225151,0.0692258,-516.375,508.996,1.26223
6,0,-0.0438709,0.0222785,0.0689506,-516.382,509.007,1.23181
7,0,-0.0438895,0.0223894,0.0691387,-516.388,509.008,1.25242
8,0,-0.0247014,0.031332,0.0636511,-516.606,509.165,1.35774
9,0,-0.0324512,0.0249729,0.0675836,-516.403,509.08,1.19287
10,0,-0.0424588,0.0224319,0.0692544,-516.365,509.026,1.2503
11,0,-0.0436389,0.0224155,0.0694937,-516.375,509.003,1.25016
12,0,-0.0239357,0.0320749,0.0637939,-516.618,509.185,1.35743
13,0,-0.0112591,0.0341127,0.0620565,-516.698,509.437,1.2869
14,0,-0.033178,0.0250624,0.0680638,-516.386,509.073,1.19058
15,0,-0.0109054,0.0348294,0.0616762,-516.714,509.441,1.2788
16,0,-0.0428055,0.0230699,0.0692572,-516.404,509.021,1.23067
17,0,-0.0221982,0.0316582,0.0633916,-516.628,509.208,1.33096
18,0,-0.0119325,0.0342015,0.0617843,-516.698,509.432,1.26397
19,0,-0.0426169,0.0229514,0.0695057,-516.389,509.018,1.25535
20,0,-0.0429566,0.0228269,0.0690184,-516.384,509.026,1.24652
21,0,-0.0440653,0.0221823,0.069091,-516.386,508.996,1.2664
22,0,-0.0117246,0.0353222,0.0619774,-516.721,509.428,1.28953
23,0,-0.0128402,0.0330217,0.06213,-516.68,509.415,1.27853
24,0,-0.0315254,0.0254893,0.0680111,-516.397,509.093,1.20018
25,0,-0.0123243,0.0341472,0.0620102,-516.71,509.429,1.30563
26,0,-0.0339265,0.0245789,0.0678831,-516.401,509.053,1.20095
27,0,-0.043606,0.0231259,0.0691475,-516.375,509,1.26363
28,0,-0.0109812,0.0347384,0.0617064,-516.709,509.451,1.24941
29,0,-0.0125554,0.0334004,0.062201,-516.693,509.42,1.28627
30,0,-0.0114424,0.0338512,0.0620247,-516.706,509.433,1.27776
31,0,-0.0435427,0.02258,0.0688909,-516.389,509.015,1.26408
32,0,-0.02416,0.0317214,0.0638833,-516.616,509.193,1.35135
33,0,-0.0121713,0.0338504,0.0618829,-516.702,509.443,1.26608
34,0,-0.0116865,0.0341802,0.0623161,-516.704,509.444,1.27404
35,0,-0.0128987,0.0343249,0.0619073,-516.71,509.425,1.28022
36,0,-0.0330805,0.024638,0.0677528,-516.391,509.077,1.20079
37,0,-0.0435167,0.0221352,0.0692249,-516.367,509.015,1.25794
38,0,-0.044458,0.0226688,0.0691724,-516.385,508.988,1.26578
39,0,-0.0249382,0.0314046,0.0638095,-516.618,509.177,1.36155
40,0,-0.0127993,0.0335017,0.0620086,-516.698,509.426,1.27669
41,0,-0.0115794,0.0337092,0.061871,-516.693,509.435,1.29769
42,0,-0.0119915,0.0350044,0.0621789,-516.71,509.424,1.27995
43,0,-0.0434348,0.0224432,0.0692282,-516.376,509.016,1.24051
44,0,-0.0433976,0.0227049,0.0689339,-516.387,509.013,1.25963
45,0,-0.024213,0.0315736,0.0635938,-516.617,509.197,1.35528
46,0,-0.0426966,0.0234475,0.0693539,-516.401,509.026,1.25083
47,0,-0.0221061,0.0318808,0.0637853,-516.64,509.218,1.33834
48,0,-0.0127431,0.0339838,0.0619598,-516.702,509.418,1.27774
49,0,-0.0442949,0.022703,0.0697623,-516.377,509.003,1.26241
50,0,-0.0241228,0.0315565,0.0640271,-516.63,509.189,1.37236
51,0,-0.0344279,0.0247923,0.0682286,-516.396,509.054,1.19222
52,0,-0.0435489,0.0229023,0.0692063,-516.379,509.015,1.26491
53,0,-0.0235541,0.0319509,0.0636216,-516.643,509.194,1.34983
54,0,-0.0327262,0.0255571,0.0676259,-516.405,509.082,1.18605
55,0,-0.0105839,0.0345649,0.0616895,-516.706,509.459,1.26665
56,0,-0.0116438,0.0344699,0.0618542,-516.716,509.433,1.2912
57,0,-0.0115089,0.033561,0.0619183,-516.692,509.44,1.27087
58,0,-0.0130211,0.0339529,0.0620456,-516.702,509.425,1.28477
59,0,-0.0335323,0.0246679,0.067837,-516.394,509.067,1.21039
