Objects
100
,,Global Angle 511DRONE:511DRONE,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0164729,-0.0908161,3.23857,-67.9947,-4.51,15.5456
2,0,0.0123677,-0.0886244,3.23986,-67.9768,-4.48891,15.5255
3,0,0.0183676,-0.0898105,3.23918,-67.9823,-4.50067,15.5567
4,0,0.0213934,-0.0989767,3.23884,-67.9783,-4.47928,15.4707
5,0,0.0182225,-0.0919367,3.23924,-67.9835,-4.49395,15.5232
6,0,0.0187555,-0.0912065,3.2394,-67.9977,-4.5116,15.5051
7,0,0.0204495,-0.0929034,3.23811,-67.989,-4.49945,15.5189
8,0,0.0197105,-0.0974484,3.23923,-67.9857,-4.47171,15.5028
9,0,0.017607,-0.0915133,3.23891,-67.9875,-4.50878,15.5271
10,0,0.0164823,-0.0912725,3.23919,-67.9798,-4.5048,15.5451
11,0,0.0187379,-0.0930497,3.23887,-67.9847,-4.49616,15.5215
12,0,0.0190741,-0.0982909,3.23997,-67.978,-4.46981,15.4806
13,0,0.0115055,-0.0882093,3.24029,-67.9803,-4.49389,15.5561
14,0,0.0134325,-0.0900515,3.23944,-67.9824,-4.47955,15.5415
15,0,0.013288,-0.0924069,3.23912,-67.9846,-4.48096,15.5258
16,0,0.0178763,-0.0902411,3.23978,-67.9768,-4.49244,15.5536
17,0,0.0172455,-0.093381,3.23821,-67.9876,-4.50073,15.5105
18,0,0.0145685,-0.0904074,3.23897,-67.9948,-4.50347,15.5238
19,0,0.0146854,-0.0918296,3.23976,-67.9835,-4.50542,15.5313
20,0,0.0150026,-0.0906558,3.2392,-67.9962,-4.49641,15.5536
21,0,0.018263,-0.0918849,3.23911,-67.9905,-4.50816,15.5314
22,0,0.0166974,-0.0899418,3.24026,-67.9812,-4.48876,15.5396
23,0,0.018714,-0.0954832,3.24042,-67.9658,-4.47074,15.505
24,0,0.0223092,-0.0982175,3.24264,-68.023,-4.45682,15.4939
25,0,0.0179153,-0.0967792,3.23966,-67.9878,-4.47941,15.4488
26,0,0.0146312,-0.0891122,3.23973,-67.9934,-4.50195,15.5262
27,0,0.0188793,-0.0948311,3.24057,-67.966,-4.46743,15.4963
28,0,0.0189645,-0.0947647,3.23969,-67.9696,-4.46271,15.5098
29,0,0.016238,-0.088348,3.23956,-67.9904,-4.50556,15.5705
